Description (unit of measurement) | T999/230V T999/400V
Centres distance (mm) | 1000
Spindle hole diameter (mm) | 38
Maximum swing over the bed (mm) | 320
Maximum swing over the cross slide (mm) | 198
Turning diameter over cavity (mm) | 
Spindle diameter (3 + 3 self centring) (mm) | 
Spindle connector | 
No. of spindle speeds | m
Spindle speed (r/min) | 
No. of metric threads | 
Range of metric threads (mm) | o
No. of inch threads | 
Range of inch threads (mm) | 
Range of longitudinal feeds (mm) | 00.78- 1.044 c
Range of transverse feeds (mm) | 0.022- 0.298
Outer diameter of the feed screw (mm) . | 22
Guide length (mm) i | 1390
Cross carriage travel (mm) v | 200
Tailstock sleeve diameter (mm) | 32
Maximum travel of the tailstock sleeve (mm) r | 80
Inner taper | CM 5
Tailstock base length (mm) e | 165
Tailstock base width (mm) | 125
Steady rest diameter (mm) f | 120
Dimensions (W x D x H) (mm) | 1820 x 530 x 1350
Package dimensions (W x D x H) (mm) | 1920 x 840 x 1560
Weight of machine (kg) | 520
Voltage / power supply frequency (V / Hz) | 230/50. 400 / 50
Motor power (W) | 1500/1800
Acoustic pressure level at operator's workstation (dB(A)) | 84
